-381.00,-903.00,164.00
-388.00,-906.00,160.00
-392.00,-908.00,157.00
-399.00,-915.00,182.00
-402.00,-914.00,184.00
-390.00,-917.00,178.00
-387.00,-911.00,171.00
-383.00,-894.00,175.00
-368.00,-867.00,185.00
-311.00,-805.00,210.00
-322.00,-367.00,343.00
-491.00,-738.00,273.00
-642.00,-1998.00,54.00
-646.00,-1998.00,128.00
-548.00,-1781.00,220.00
-930.00,-678.00,102.00
-240.00,71.00,43.00
342.00,164.00,-13.00
51.00,49.00,208.00
-78.00,-19.00,315.00
-71.00,-12.00,246.00
-340.00,-348.00,199.00
-816.00,-1998.00,-121.00
-1830.00,-1998.00,85.00
-1143.00,-1998.00,343.00
-915.00,-496.00,801.00
199.00,-385.00,597.00
812.00,373.00,-258.00
-294.00,264.00,-41.00
-57.00,73.00,40.00
-165.00,-22.00,105.00
-350.00,-131.00,208.00
-410.00,-1074.00,112.00
-923.00,-1998.00,-9.00
-1434.00,-1998.00,247.00
-1047.00,-1981.00,102.00
-960.00,-744.00,352.00
456.00,159.00,430.00
176.00,48.00,400.00
39.00,85.00,349.00
-30.00,0.00,213.00
-161.00,-5.00,116.00
-281.00,-80.00,173.00
-445.00,-895.00,110.00
-852.00,-1998.00,-93.00
-1316.00,-1998.00,116.00
-839.00,-1968.00,-246.00
-947.00,-1006.00,490.00
238.00,101.00,608.00
425.00,-39.00,487.00
165.00,79.00,416.00
-82.00,6.00,344.00
-280.00,-25.00,198.00
-409.00,-74.00,163.00
-437.00,-605.00,76.00
-886.00,-1998.00,-346.00
-864.00,-1998.00,-214.00
-963.00,-1998.00,-694.00
-1118.00,-851.00,-133.00
255.00,-15.00,671.00
377.00,-58.00,325.00
399.00,-77.00,422.00
-26.00,54.00,274.00
-113.00,-15.00,170.00
-324.00,-50.00,223.00
-338.00,-244.00,281.00
-767.00,-1743.00,56.00
-1599.00,-1998.00,574.00
-826.00,-1998.00,-681.00
-1402.00,-466.00,-718.00
239.00,-231.00,258.00
828.00,-126.00,673.00
-136.00,175.00,420.00
-25.00,83.00,376.00
-164.00,-14.00,214.00
-284.00,-32.00,116.00
-435.00,-163.00,164.00
-700.00,-1323.00,82.00
-1455.00,-1998.00,-27.00
-1007.00,-1998.00,-62.00
-776.00,-1998.00,149.00
-851.00,-757.00,429.00
121.00,168.00,474.00
328.00,-134.00,397.00
316.00,97.00,134.00
-43.00,-28.00,137.00
-178.00,-19.00,71.00
-282.00,-8.00,58.00
-409.00,-545.00,194.00
-902.00,-1991.00,-7.00
-1291.00,-1998.00,266.00
-935.00,-1998.00,-5.00
-1148.00,-1450.00,32.00
-442.00,-200.00,442.00
546.00,12.00,408.00
303.00,-13.00,268.00
90.00,-1.00,194.00
-190.00,-65.00,117.00
-208.00,-1.00,62.00
-299.00,-209.00,197.00
-654.00,-1527.00,75.00
-964.00,-1998.00,187.00
-922.00,-1998.00,159.00
-870.00,-1998.00,-164.00
-1031.00,-789.00,224.00
54.00,205.00,376.00
62.00,-101.00,510.00
33.00,21.00,269.00
-152.00,6.00,184.00
-173.00,-11.00,139.00
-208.00,-74.00,143.00
-303.00,-373.00,186.00
-969.00,-1811.00,29.00
-1080.00,-1998.00,253.00
-861.00,-1998.00,245.00
-1168.00,-1717.00,71.00
-566.00,-191.00,298.00
413.00,-37.00,575.00
288.00,50.00,291.00
263.00,131.00,184.00
112.00,20.00,52.00
-171.00,7.00,-44.00
-282.00,-91.00,91.00
-480.00,-1028.00,146.00
-1013.00,-1998.00,78.00
-1615.00,-1998.00,216.00
-1228.00,-1998.00,45.00
-947.00,-857.00,647.00
461.00,360.00,372.00
250.00,65.00,287.00
88.00,44.00,254.00
-254.00,36.00,219.00
-328.00,9.00,182.00
-339.00,-68.00,289.00
-350.00,-300.00,365.00
-766.00,-1600.00,77.00
-1882.00,-1998.00,121.00
-1160.00,-1998.00,192.00
-958.00,-1547.00,182.00
-390.00,-423.00,684.00
359.00,38.00,553.00
254.00,-121.00,285.00
33.00,53.00,212.00
-291.00,-73.00,247.00
-214.00,47.00,81.00
-195.00,24.00,130.00
-262.00,-257.00,223.00
-630.00,-1379.00,71.00
-1170.00,-1998.00,178.00
-1120.00,-1998.00,91.00
-764.00,-1826.00,-46.00
-459.00,-518.00,409.00
673.00,27.00,497.00
-57.00,-185.00,502.00
233.00,-13.00,182.00
-75.00,-69.00,127.00
-230.00,-59.00,152.00
-200.00,-88.00,149.00
-198.00,-554.00,198.00
-768.00,-1998.00,17.00
-982.00,-1998.00,213.00
-965.00,-1998.00,-152.00
-869.00,-1424.00,135.00
396.00,42.00,380.00
235.00,-244.00,498.00
319.00,-116.00,209.00
213.00,-11.00,68.00
-133.00,-56.00,56.00
-197.00,-63.00,101.00
-85.00,-208.00,124.00
-593.00,-1765.00,-53.00
-817.00,-1998.00,142.00
-987.00,-1998.00,-127.00
-1561.00,-1740.00,97.00
410.00,-442.00,538.00
498.00,-57.00,332.00
378.00,51.00,223.00
286.00,16.00,196.00
77.00,33.00,195.00
60.00,14.00,99.00
-291.00,-143.00,195.00
-285.00,-1118.00,255.00
-471.00,-1998.00,65.00
-1510.00,-1998.00,-270.00
-1144.00,-1998.00,-658.00
-1217.00,-116.00,149.00
-383.00,239.00,570.00
346.00,-67.00,398.00
-146.00,-6.00,225.00
-316.00,-59.00,120.00
-370.00,-39.00,24.00
-282.00,63.00,-70.00
-538.00,-736.00,262.00
-1042.00,-1998.00,75.00
-1411.00,-1998.00,-76.00
-751.00,-1998.00,-109.00
